Epoch,Worker_ID,Batch_Processing_Time,Total_Worker_Time_Per_Epoch
1,1,0.2105,
1,1,0.1815,
1,1,0.1999,
1,1,0.1664,
1,1,0.1642,
1,1,0.1831,
1,1,0.1998,
1,1,0.1611,
1,1,0.1754,
1,1,0.1877,
1,1,0.1801,
1,1,0.1582,
1,1,0.1883,
1,1,0.1836,
1,1,0.1957,
1,1,0.1979,
1,1,0.1817,
1,1,0.1672,
1,1,0.1962,
1,1,0.1828,
1,1,0.1675,
1,1,0.1826,
1,1,0.1846,
1,1,0.1936,
1,1,0.1583,
1,1,0.1658,
1,1,0.1940,
1,1,0.1649,
1,1,0.1726,
1,1,0.1661,
1,1,0.2147,
1,1,0.1732,
1,1,0.1813,
1,1,0.1841,
1,1,0.1674,
1,1,0.1802,
1,1,0.1689,
1,1,0.1736,
1,1,0.1834,
1,1,0.1770,
1,1,0.1919,
1,1,0.1751,
1,1,0.1695,
1,1,0.1718,
